wavelength	B1	B2	B3	B4
350	0.000819305	0.004405257	0.000820996	0.001565224
351	0.000926688	0.003864678	0.000874376	0.001973781
352	0.001034071	0.003324099	0.000927756	0.002382337
353	0.001141455	0.002783521	0.000981136	0.002790893
354	0.001248838	0.002242942	0.001034516	0.00319945
355	0.001356221	0.001702363	0.001087896	0.003608006
356	0.001220252	0.001664496	0.000978075	0.002967036
357	0.001084284	0.001626628	0.000868255	0.002326067
358	0.000948315	0.001588761	0.000758434	0.001685097
359	0.000812347	0.001550893	0.000648614	0.001044128
360	0.000676378	0.001513026	0.000538793	0.000403158
361	0.00078198	0.001590863	0.000576375	0.000684363
362	0.000887581	0.0016687	0.000613957	0.000965568
363	0.000993183	0.001746537	0.000651538	0.001246773
364	0.001098784	0.001824374	0.00068912	0.001527978
365	0.001204386	0.001902211	0.000726702	0.001809182
366	0.001162511	0.001878158	0.000731121	0.001687632
367	0.001120637	0.001854105	0.000735539	0.001566082
368	0.001078762	0.001830051	0.000739958	0.001444532
369	0.001036888	0.001805998	0.000744376	0.001322982
370	0.000995013	0.001781945	0.000748795	0.001201432
371	0.000948512	0.001632646	0.000611196	0.001163947
372	0.000902011	0.001483347	0.000473597	0.001126463
373	0.000855509	0.001334047	0.000335998	0.001088978
374	0.000809008	0.001184748	0.000198399	0.001051493
375	0.000762507	0.001035449	0.0000608	0.001014009
376	0.000748029	0.00112828	0.000147044	0.001090902
377	0.000733551	0.001221112	0.000233287	0.001167796
378	0.000719073	0.001313943	0.000319531	0.001244689
379	0.000704595	0.001406775	0.000405774	0.001321583
380	0.000690117	0.001499606	0.000492018	0.001398476
381	0.000652111	0.001293997	0.000460142	0.00131324
382	0.000614105	0.001088388	0.000428266	0.001228004
383	0.000576099	0.00088278	0.00039639	0.001142768
384	0.000538093	0.000677171	0.000364514	0.001057532
385	0.000500087	0.000471562	0.000332638	0.000972296
386	0.000586385	0.000701844	0.000397596	0.000947438
387	0.000672683	0.000932126	0.000462553	0.000922581
388	0.000758981	0.001162407	0.000527511	0.000897724
389	0.000845279	0.001392689	0.000592468	0.000872866
390	0.000931577	0.001622971	0.000657426	0.000848009
391	0.000832927	0.001410831	0.000649256	0.000808819
